Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,GERB—SDS,BSPzB,OP,VMRO,NFSB,Ataka,ABV,DPS,Volya,RB,DB,DSB,Da!,ITN,IBG-NI,Vazrazhdane,RzB,NFSB+Volya,BP,PP,BV,PP–DB,Levitsata!,NDSV,Other
Алфа рисърч,,2024-02-27,2024-03-03,National,1000,Provided,Not Available,0.1%,Not Available,27.0%,10.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.0%,Not Available,Not Available,Not Available,Not Available,Not Available,5.8%,Not Available,14.6%,Not Available,Not Available,Not Available,Not Available,Not Available,21.9%,Not Available,Not Available,8.8%
Маркет ЛИНКС,bTV,2024-02-24,2024-03-03,European,1058,Provided,96.1%,0.1%,Not Available,27.5%,10.1%,Not Available,Not Available,Not Available,Not Available,Not Available,14.6%,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%,Not Available,14.0%,Not Available,Not Available,Not Available,Not Available,Not Available,23.6%,Not Available,Not Available,6.3%
Маркет ЛИНКС,bTV,2024-02-24,2024-03-03,National,1058,Provided,96.3%,0.1%,Not Available,29.1%,9.2%,Not Available,Not Available,Not Available,Not Available,Not Available,15.7%,Not Available,Not Available,Not Available,Not Available,Not Available,4.1%,Not Available,11.3%,Not Available,Not Available,Not Available,Not Available,Not Available,22.1%,Not Available,Not Available,8.6%
Маркет ЛИНКС,bTV,2024-01-26,2024-02-04,National,1016,Provided,95.3%,0.1%,Not Available,29.1%,10.4%,Not Available,Not Available,Not Available,Not Available,Not Available,14.8%,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%,Not Available,12.1%,Not Available,Not Available,Not Available,Not Available,Not Available,21.0%,Not Available,Not Available,8.1%
Тренд,24 часа,2024-01-17,2024-01-24,National,1016,Provided,93%,0.1%,Not Available,26.7%,10.3%,Not Available,Not Available,Not Available,Not Available,Not Available,14.8%,Not Available,Not Available,Not Available,Not Available,Not Available,5.2%,Not Available,15.7%,Not Available,Not Available,Not Available,Not Available,1.9%,19.1%,2.0%,Not Available,4.2%
Медиана,,2023-12-07,2023-12-13,National,978,Provided,90%,0.1%,Not Available,25.4%,12.6%,Not Available,Not Available,Not Available,Not Available,Not Available,13.6%,Not Available,Not Available,Not Available,Not Available,Not Available,6.6%,Not Available,15.0%,Not Available,Not Available,Not Available,Not Available,1.7%,17.3%,3.9%,Not Available,4.0%
Алфа рисърч,,2023-11-22,2023-11-30,National,1000,Provided,Not Available,0.1%,Not Available,25.9%,11.4%,Not Available,Not Available,Not Available,Not Available,Not Available,12.8%,Not Available,Not Available,Not Available,Not Available,Not Available,5.8%,Not Available,14.4%,Not Available,Not Available,Not Available,Not Available,Not Available,21.1%,Not Available,Not Available,8.6%
Маркет ЛИНКС,bTV,2023-11-10,2023-11-19,National,1014,Provided,95.8%,0.1%,Not Available,27.5%,11.0%,Not Available,Not Available,Not Available,Not Available,Not Available,15.0%,Not Available,Not Available,Not Available,Not Available,Not Available,4.7%,Not Available,13.4%,Not Available,Not Available,Not Available,Not Available,Not Available,21.0%,Not Available,Not Available,7.3%
Тренд,24 часа,2023-11-11,2023-11-18,National,1006,Provided,92.6%,0.1%,Not Available,26.7%,10.2%,Not Available,Not Available,Not Available,Not Available,Not Available,14.4%,Not Available,Not Available,Not Available,Not Available,Not Available,4.8%,Not Available,16.6%,Not Available,Not Available,Not Available,Not Available,2.2%,19.3%,2.1%,Not Available,3.9%
Маркет ЛИНКС,bTV,2023-09-26,2023-10-08,National,1032,Provided,93.2%,0.1%,Not Available,29.1%,9.8%,Not Available,Not Available,Not Available,Not Available,Not Available,15.2%,Not Available,Not Available,Not Available,Not Available,Not Available,3.4%,Not Available,13.6%,Not Available,Not Available,Not Available,Not Available,Not Available,21.6%,Not Available,Not Available,7.5%
