Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,GERB—SDS,BSPzB,OP,VMRO,NFSB,Ataka,ABV,DPS,Volya,RB,DB,DSB,Da!,ITN,IBG-NI,Vazrazhdane,RzB,NFSB+Volya,BP,PP,BV,PP–DB,Levitsata!,NDSV,Other
Тренд,24 часа,2023-09-02,2023-09-08,National,1002,Provided,93.5%,0.1%,Not Available,26.6%,9.3%,Not Available,Not Available,Not Available,Not Available,Not Available,14.3%,Not Available,Not Available,Not Available,Not Available,Not Available,4.5%,Not Available,17.2%,Not Available,Not Available,Not Available,Not Available,2.2%,19.6%,2.0%,Not Available,4.2%
Маркет ЛИНКС,bTV,2023-08-11,2023-08-18,National,1012,Provided,97.0%,0.1%,Not Available,27.1%,8.6%,Not Available,Not Available,Not Available,Not Available,Not Available,15.6%,Not Available,Not Available,Not Available,Not Available,Not Available,5.6%,Not Available,13.2%,Not Available,Not Available,Not Available,Not Available,Not Available,22.4%,Not Available,Not Available,7.4%
Медиана,,2023-07-18,2023-07-24,National,976,Provided,Not Available,0.1%,Not Available,25.7%,9.9%,Not Available,Not Available,Not Available,Not Available,Not Available,14.2%,Not Available,Not Available,Not Available,Not Available,Not Available,6.0%,Not Available,17.0%,Not Available,Not Available,Not Available,Not Available,2.7%,19.9%,2.3%,Not Available,2.2%
Тренд,24 часа,2023-07-04,2023-07-11,National,1001,Provided,93.7%,0.1%,Not Available,26.5%,9.2%,Not Available,Not Available,Not Available,Not Available,Not Available,14.6%,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%,Not Available,16.5%,Not Available,Not Available,Not Available,Not Available,1.9%,20.4%,2.0%,Not Available,4.6%
Gallup International,,2023-06-29,2023-07-09,National,809,Provided,Not Available,0.1%,Not Available,26.4%,9.7%,Not Available,Not Available,Not Available,Not Available,Not Available,14.5%,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%,Not Available,14.9%,Not Available,Not Available,Not Available,Not Available,2.0%,21.8%,Not Available,Not Available,6.4%
Център за анализи и маркетинг,,2023-07-03,2023-07-07,National,1021,Provided,95.5%,0.1%,Not Available,27.4%,9.4%,Not Available,Not Available,Not Available,Not Available,Not Available,14.0%,Not Available,Not Available,Not Available,Not Available,Not Available,3.9%,Not Available,15.1%,Not Available,Not Available,Not Available,Not Available,1.9%,22.4%,1.9%,Not Available,3.9%
Маркет ЛИНКС,bTV,2023-06-22,2023-07-02,National,1011,Provided,95.4%,0.1%,Not Available,28.8%,9.3%,Not Available,Not Available,Not Available,Not Available,Not Available,17.8%,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%,Not Available,14.5%,Not Available,Not Available,Not Available,Not Available,Not Available,21.9%,Not Available,Not Available,3.8%
Алфа рисърч,,2023-06-20,2023-06-26,National,1000,Provided,96.4%,0.1%,Not Available,26.0%,9.1%,Not Available,Not Available,Not Available,Not Available,Not Available,13.1%,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%,Not Available,16.0%,Not Available,Not Available,Not Available,Not Available,Not Available,21.0%,2.8%,Not Available,7.8%
Exacta,,2023-06-12,2023-06-20,National,1040,Provided,94.1%,0.1%,Not Available,25.9%,10.1%,Not Available,Not Available,Not Available,Not Available,Not Available,14.0%,Not Available,Not Available,Not Available,Not Available,Not Available,5.1%,Not Available,15.7%,Not Available,Not Available,Not Available,Not Available,2.0%,21.4%,1.9%,Not Available,3.8%
Тренд,24 часа,2023-06-10,2023-06-16,National,1008,Provided,94.2%,0.1%,Not Available,26.4%,9.4%,Not Available,Not Available,Not Available,Not Available,Not Available,14.3%,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%,Not Available,16.2%,Not Available,Not Available,Not Available,Not Available,2.3%,20.6%,2.0%,Not Available,3.6%
Gallup International,,2023-04-27,2023-05-05,National,803,Provided,Not Available,0.1%,Not Available,26.8%,9.1%,Not Available,Not Available,Not Available,Not Available,Not Available,13.9%,Not Available,Not Available,Not Available,Not Available,Not Available,4.1%,Not Available,14.7%,Not Available,Not Available,Not Available,Not Available,3.2%,24.1%,1.5%,Not Available,2.6%
Медиана,,2023-03-17,2023-03-22,National,978,Provided,Not Available,0.1%,Not Available,24.7%,8.6%,Not Available,Not Available,Not Available,Not Available,Not Available,13.2%,Not Available,Not Available,Not Available,Not Available,Not Available,3.4%,Not Available,14.5%,Not Available,Not Available,Not Available,Not Available,4.5%,23.1%,4.3%,Not Available,3.8%
Център за анализи и маркетинг,,2023-03-16,2023-03-19,National,1021,Provided,96.8%,0.1%,Not Available,24.7%,8.1%,Not Available,Not Available,Not Available,Not Available,Not Available,13.8%,Not Available,Not Available,Not Available,Not Available,Not Available,2.9%,Not Available,12.5%,Not Available,Not Available,Not Available,Not Available,2.8%,25.7%,4.0%,1.2%,4.3%
Nasoca,,2023-03-07,2023-03-14,National,1200,Provided,95.3%,0.1%,Not Available,26.0%,6.5%,Not Available,Not Available,Not Available,Not Available,Not Available,13.9%,Not Available,Not Available,Not Available,Not Available,Not Available,3.1%,Not Available,12.8%,Not Available,Not Available,Not Available,Not Available,4.5%,25.3%,3.3%,Not Available,4.6%
Тренд,24 часа,2023-03-06,2023-03-12,National,1003,Provided,94.9%,0.1%,Not Available,25.6%,7.6%,Not Available,Not Available,Not Available,Not Available,Not Available,13.6%,Not Available,Not Available,Not Available,Not Available,Not Available,3.1%,Not Available,12.9%,Not Available,Not Available,Not Available,Not Available,3.6%,26.5%,3.5%,Not Available,3.6%
Gallup International,,2023-02-24,2023-03-03,National,1008,Provided,Not Available,0.1%,Not Available,26.6%,7.3%,Not Available,Not Available,Not Available,Not Available,Not Available,13.4%,Not Available,Not Available,Not Available,Not Available,Not Available,3.4%,Not Available,12.3%,Not Available,Not Available,Not Available,Not Available,3.7%,27.2%,3.2%,Not Available,2.9%
Алфа рисърч,,2023-02-21,2023-02-27,National,1007,Provided,Not Available,0.1%,Not Available,25.2%,7.4%,Not Available,Not Available,Not Available,Not Available,Not Available,13.2%,Not Available,Not Available,Not Available,Not Available,Not Available,3.2%,Not Available,11.3%,Not Available,Not Available,Not Available,Not Available,3.8%,26.4%,3.6%,1.4%,4.5%
Sova Harris,,2023-02-20,2023-02-27,National,1000,Provided,Not Available,0.1%,Not Available,27.4%,9.7%,Not Available,Not Available,Not Available,Not Available,Not Available,11.7%,Not Available,Not Available,Not Available,Not Available,Not Available,3.1%,Not Available,10.6%,Not Available,Not Available,Not Available,Not Available,3.7%,25.7%,3.9%,0.9%,2.0%
Медиана,,2023-02-19,2023-02-24,National,973,Provided,93.9%,0.1%,Not Available,26.2%,9.5%,Not Available,Not Available,Not Available,Not Available,Not Available,12.0%,Not Available,Not Available,Not Available,Not Available,Not Available,3.3%,Not Available,13.3%,Not Available,Not Available,Not Available,Not Available,4.8%,24.2%,3.7%,Not Available,3.0%
Gallup International,,2023-02-02,2023-02-12,National,808,Provided,Not Available,0.1%,Not Available,26.1%,8.6%,Not Available,Not Available,Not Available,Not Available,Not Available,13.4%,Not Available,Not Available,Not Available,Not Available,Not Available,3.9%,Not Available,12.3%,Not Available,Not Available,Not Available,Not Available,4.2%,27.1%,Not Available,Not Available,4.4%
Тренд,24 часа,2023-02-04,2023-02-11,National,1003,Provided,Not Available,0.1%,Not Available,25.6%,8.9%,Not Available,Not Available,Not Available,Not Available,Not Available,12.8%,Not Available,Not Available,Not Available,Not Available,Not Available,3.3%,Not Available,11.9%,Not Available,Not Available,Not Available,Not Available,4.0%,24.8%,Not Available,Not Available,3.9%
Exacta,,2023-01-30,2023-02-04,National,1050,Provided,Not Available,0.1%,Not Available,27.4%,12.6%,Not Available,1.1%,Not Available,Not Available,Not Available,13.2%,Not Available,Not Available,7.5%,Not Available,Not Available,3.3%,Not Available,10.3%,Not Available,Not Available,Not Available,16.9%,4.3%,Not Available,Not Available,1.1%,2.4%
Маркет ЛИНКС,bTV,2022-12-10,2022-12-20,National,1022,Provided,Not Available,0.1%,Not Available,22.6%,9.6%,Not Available,Not Available,Not Available,Not Available,Not Available,12.2%,Not Available,Not Available,8.3%,Not Available,Not Available,2.2%,Not Available,10%,Not Available,Not Available,Not Available,16.2%,2.6%,Not Available,Not Available,Not Available,Not Available
Алфа рисърч,,2022-12-01,2022-12-13,National,1023,Provided,Not Available,0.1%,Not Available,27.6%,10%,Not Available,Not Available,Not Available,Not Available,Not Available,12.3%,Not Available,Not Available,7.7%,Not Available,Not Available,Not Available,Not Available,11.8%,Not Available,Not Available,Not Available,20.9%,5.1%,Not Available,Not Available,Not Available,Not Available
Exacta,,2022-12-05,2022-12-12,National,1050,Provided,Not Available,0.1%,Not Available,25.2%,10.2%,Not Available,Not Available,Not Available,Not Available,Not Available,11.5%,Not Available,Not Available,7.4%,Not Available,Not Available,2.7%,Not Available,8.9%,Not Available,Not Available,Not Available,19.0%,5.2%,Not Available,Not Available,Not Available,4.5%
Тренд,24 часа,2022-12-01,2022-12-08,National,1005,Provided,Not Available,0.1%,Not Available,25.8%,9.0%,Not Available,Not Available,Not Available,Not Available,Not Available,11.6%,Not Available,Not Available,7.3%,Not Available,Not Available,3.1%,Not Available,11.3%,Not Available,Not Available,Not Available,19.2%,4.0%,Not Available,Not Available,Not Available,Not Available
Алфа рисърч,,2022-09-27,2022-09-29,National,1025,Provided,Not Available,0.1%,Not Available,25.2%,10.2%,Not Available,1.8%,Not Available,Not Available,Not Available,13.1%,Not Available,Not Available,8.4%,Not Available,Not Available,4.0%,1.9%,11.0%,Not Available,Not Available,Not Available,16.5%,4.4%,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2022-09-21,2022-09-27,National,1001,Provided,Not Available,0.1%,Not Available,25.7%,8.7%,Not Available,1.2%,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,7.6%,Not Available,Not Available,4.2%,2.0%,11.0%,Not Available,Not Available,Not Available,16.4%,4.4%,Not Available,Not Available,Not Available,6.3%
Gallup International,,2022-09-20,2022-09-27,National,1009,Provided,Not Available,0.1%,Not Available,25.8%,9.2%,Not Available,1.2%,Not Available,Not Available,Not Available,13.2%,Not Available,Not Available,7.8%,Not Available,Not Available,4.2%,1.9%,12.8%,Not Available,Not Available,Not Available,16.6%,4.0%,Not Available,Not Available,Not Available,3.3%
Маркет ЛИНКС,24 часа,2022-09-17,2022-09-23,National,1024,Provided,Not Available,0.1%,Not Available,23.7%,9.9%,Not Available,Not Available,Not Available,Not Available,Not Available,12.3%,Not Available,Not Available,7.8%,Not Available,Not Available,3.9%,2.5%,8.7%,Not Available,Not Available,Not Available,16.9%,2.5%,Not Available,Not Available,Not Available,11.8%
Exacta,,2022-09-10,2022-09-17,National,1050,Provided,Not Available,0.1%,Not Available,26.2%,12.5%,Not Available,Not Available,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,7.5%,Not Available,Not Available,5.4%,Not Available,9.5%,Not Available,Not Available,Not Available,18.1%,4.0%,Not Available,Not Available,Not Available,6.5%
Estat,,2022-09-10,2022-09-17,National,1005,Provided,Not Available,0.1%,Not Available,26.1%,9.3%,Not Available,1.0%,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,6.9%,Not Available,Not Available,4.2%,1.9%,10.1%,Not Available,Not Available,Not Available,16.8%,4.8%,Not Available,Not Available,Not Available,8.6%
Sova Harris,Dir.bg,2022-09-06,2022-09-12,National,835,Provided,Not Available,0.1%,Not Available,28.8%,12.7%,Not Available,1.2%,Not Available,Not Available,Not Available,8.7%,Not Available,Not Available,5.7%,Not Available,Not Available,5.1%,2.9%,10.4%,Not Available,Not Available,Not Available,18.8%,4.8%,Not Available,Not Available,Not Available,0.9%
Gallup International,,2022-09-02,2022-09-10,National,1002,Provided,Not Available,0.1%,Not Available,25.9%,9.8%,Not Available,1.5%,Not Available,Not Available,Not Available,11.5%,Not Available,Not Available,7.6%,Not Available,Not Available,4.3%,1.7%,11.3%,Not Available,Not Available,Not Available,19.2%,4.2%,Not Available,Not Available,Not Available,3.0%
Медиана,,2022-08-29,2022-09-04,National,1008,Provided,Not Available,0.1%,Not Available,22.8%,13.3%,Not Available,Not Available,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,5.5%,Not Available,Not Available,6.9%,3.4%,12.5%,Not Available,Not Available,Not Available,17.1%,5.5%,Not Available,Not Available,Not Available,1.9%
Маркет ЛИНКС,bTV,2022-08-27,2022-09-03,National,1067,Provided,Not Available,0.1%,Not Available,22.9%,10.9%,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,8.1%,Not Available,Not Available,3.8%,Not Available,7.6%,Not Available,Not Available,Not Available,17.8%,4.7%,Not Available,Not Available,Not Available,13.5%
Алфа рисърч,,2022-08-27,2022-09-02,National,1117,Provided,Not Available,0.1%,Not Available,25.3%,10.6%,Not Available,Not Available,Not Available,Not Available,Not Available,11.8%,Not Available,Not Available,8.1%,Not Available,Not Available,4.2%,2.1%,10.3%,Not Available,Not Available,Not Available,18.9%,4.5%,Not Available,Not Available,Not Available,4.1%
Тренд,24 часа,2022-08-15,2022-08-22,National,1007,Provided,Not Available,0.1%,Not Available,24.4%,8.6%,Not Available,1.2%,Not Available,Not Available,Not Available,10.6%,Not Available,Not Available,7.3%,Not Available,Not Available,3.9%,1.9%,10.3%,Not Available,Not Available,Not Available,19.6%,4.5%,Not Available,Not Available,Not Available,7.7%
Маркет ЛИНКС,bTV,2022-07-30,2022-08-05,National,1020,Provided,Not Available,0.1%,Not Available,24.5%,11.9%,Not Available,Not Available,Not Available,Not Available,Not Available,12.6%,Not Available,Not Available,9.1%,Not Available,Not Available,3.1%,Not Available,9.2%,Not Available,Not Available,Not Available,20.9%,4.3%,Not Available,Not Available,Not Available,4.8%
Тренд,24 часа,2022-07-05,2022-07-12,National,1005,Provided,Not Available,0.1%,Not Available,23.4%,10.6%,Not Available,1.1%,Not Available,Not Available,Not Available,10.6%,Not Available,Not Available,6.8%,Not Available,Not Available,3.8%,1.6%,9.5%,Not Available,Not Available,Not Available,21.2%,5.6%,Not Available,Not Available,Not Available,5.7%
Маркет ЛИНКС,bTV,2022-07-02,2022-07-10,National,1024,Provided,Not Available,0.1%,Not Available,22.2%,11.6%,Not Available,Not Available,Not Available,Not Available,Not Available,9.1%,Not Available,Not Available,8.3%,Not Available,Not Available,3.2%,Not Available,7.6%,Not Available,Not Available,Not Available,21.5%,4.3%,Not Available,Not Available,Not Available,12.2%
Алфа рисърч,,2022-06-25,2022-07-01,National,1017,Provided,Not Available,0.1%,Not Available,23.9%,12.8%,Not Available,Not Available,Not Available,Not Available,Not Available,9.8%,Not Available,Not Available,7.9%,Not Available,Not Available,3.7%,Not Available,8.8%,Not Available,Not Available,Not Available,22.5%,6.0%,Not Available,Not Available,Not Available,4.7%
Тренд,24 часа,2022-05-04,2022-05-11,National,1002,Provided,Not Available,0.1%,Not Available,23.6%,9.4%,Not Available,1.5%,Not Available,Not Available,Not Available,10.8%,Not Available,Not Available,6.7%,Not Available,Not Available,5.7%,2.0%,10.0%,Not Available,Not Available,Not Available,17.3%,7.5%,Not Available,Not Available,Not Available,5.4%
Център за анализи и маркетинг,,2022-05-04,2022-05-09,National,821,Provided,Not Available,0.1%,Not Available,23.3%,11.8%,Not Available,1.0%,Not Available,Not Available,Not Available,11.6%,Not Available,Not Available,6.0%,Not Available,Not Available,5.1%,1.2%,8.7%,Not Available,Not Available,Not Available,21.4%,7.8%,Not Available,Not Available,Not Available,2.1%
Маркет ЛИНКС,bTV,2022-04-29,2022-05-08,National,1015,Provided,Not Available,0.1%,Not Available,25.9%,12.5%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,Not Available,Not Available,8.3%,Not Available,Not Available,6.5%,Not Available,9.7%,Not Available,Not Available,Not Available,19.1%,Not Available,Not Available,Not Available,Not Available,7.2%
Gallup,,2022-04-29,2022-05-06,National,805,Provided,Not Available,0.1%,Not Available,24.9%,9.7%,Not Available,1.5%,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,5.5%,Not Available,Not Available,5.4%,1.1%,10.5%,Not Available,Not Available,Not Available,18.2%,5.6%,Not Available,Not Available,Not Available,6.5%
Алфа рисърч,,2022-04-08,2022-04-14,National,1037,Provided,Not Available,0.1%,Not Available,24.8%,11.7%,Not Available,Not Available,Not Available,Not Available,Not Available,8.7%,Not Available,Not Available,7.7%,Not Available,Not Available,5.1%,Not Available,10.8%,Not Available,Not Available,Not Available,21.1%,Not Available,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2022-04-06,2022-04-13,National,1004,Provided,Not Available,0.1%,Not Available,23.6%,10.5%,Not Available,1.3%,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,7.1%,Not Available,Not Available,6.9%,1.9%,9.3%,Not Available,Not Available,Not Available,20.1%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2022-03-31,2022-04-08,National,809,Provided,Not Available,0.1%,Not Available,25.9%,10.3%,Not Available,2.1%,Not Available,Not Available,Not Available,10.6%,Not Available,Not Available,4.5%,Not Available,Not Available,7.0%,1.2%,7.9%,Not Available,Not Available,Not Available,23.8%,Not Available,Not Available,Not Available,Not Available,Not Available
Маркет ЛИНКС,bTV,2022-03-22,2022-03-29,National,1029,Provided,Not Available,0.1%,Not Available,22.1%,11.6%,Not Available,Not Available,Not Available,Not Available,Not Available,8.2%,Not Available,Not Available,7.6%,Not Available,Not Available,6.7%,Not Available,8.2%,Not Available,Not Available,Not Available,19.7%,Not Available,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2022-03-05,2022-03-12,National,1007,Provided,Not Available,0.1%,Not Available,21.9%,10.4%,Not Available,1.3%,Not Available,Not Available,Not Available,11.4%,Not Available,Not Available,7.4%,Not Available,Not Available,7.5%,2.1%,7.3%,Not Available,Not Available,Not Available,22.9%,Not Available,Not Available,Not Available,Not Available,Not Available
Алфа рисърч,,2022-02-06,2022-02-14,National,1060,Provided,Not Available,0.1%,Not Available,22.2%,12.0%,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%,Not Available,Not Available,7.8%,Not Available,Not Available,8.1%,Not Available,6.4%,Not Available,Not Available,Not Available,29.9%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2022-02-03,2022-02-11,National,803,Provided,Not Available,0.1%,Not Available,21.9%,8.5%,Not Available,1.7%,Not Available,Not Available,Not Available,12.2%,Not Available,Not Available,5.2%,Not Available,Not Available,9.4%,1.5%,3.9%,Not Available,Not Available,Not Available,30.2%,Not Available,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2022-01-12,2022-01-19,National,1004,Provided,Not Available,0.1%,Not Available,22.3%,11.5%,Not Available,1.1%,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,6.8%,Not Available,Not Available,8.1%,1.9%,6.0%,Not Available,Not Available,Not Available,26.4%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,BNR,2021-10-10,2021-10-17,National,1009,Provided,54.2%,0.1%,Not Available,22.5%,15.1%,Not Available,2.3%,Not Available,Not Available,Not Available,10.8%,Not Available,Not Available,11.2%,Not Available,Not Available,12.2%,3.7%,2.9%,Not Available,Not Available,Not Available,13.4%,Not Available,Not Available,Not Available,Not Available,5.9%
Exacta,,2021-10-06,2021-10-12,National,1025,Provided,49.0%,0.1%,Not Available,23.4%,14.9%,Not Available,2.5%,Not Available,Not Available,Not Available,9.3%,Not Available,Not Available,10.1%,Not Available,Not Available,15.1%,2.6%,1.9%,Not Available,Not Available,Not Available,15.4%,Not Available,Not Available,Not Available,Not Available,4.8%
Sova Harris,Dir.bg,2021-10-05,2021-10-12,National,1010,Provided,55.2%,0.1%,Not Available,24.6%,19.4%,Not Available,1.8%,Not Available,Not Available,Not Available,8.9%,Not Available,Not Available,9.2%,Not Available,Not Available,14.6%,4.3%,1.9%,Not Available,Not Available,Not Available,14.9%,Not Available,Not Available,Not Available,Not Available,0.4%
Център за анализи и маркетинг,,2021-10-06,2021-10-10,National,812,Provided,Not Available,0.1%,Not Available,24.4%,15.9%,Not Available,0.7%,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,10.4%,Not Available,Not Available,11.8%,3.2%,1.7%,Not Available,Not Available,Not Available,12.9%,Not Available,Not Available,Not Available,Not Available,3.7%
Алфа рисърч,,2021-10-04,2021-10-10,National,1123,Provided,47.6%,0.1%,Not Available,23.1%,16.8%,Not Available,2.1%,Not Available,Not Available,Not Available,9.3%,Not Available,Not Available,10.9%,Not Available,Not Available,10.4%,3.2%,2.9%,Not Available,Not Available,Not Available,15.9%,Not Available,Not Available,Not Available,Not Available,5.4%
Gallup,,2021-09-21,2021-09-26,National,2000,Provided,50.6%,0.1%,Not Available,21.4%,13.4%,Not Available,2.2%,Not Available,Not Available,Not Available,11.4%,Not Available,Not Available,12.1%,Not Available,Not Available,12.3%,4.1%,3.3%,Not Available,Not Available,Not Available,15.2%,Not Available,Not Available,Not Available,Not Available,4.6%
Маркет ЛИНКС,bTV,2021-09-14,2021-09-20,National,1076,Provided,57.0%,0.1%,Not Available,25.0%,16.0%,Not Available,Not Available,Not Available,Not Available,Not Available,10.8%,Not Available,Not Available,13.1%,Not Available,Not Available,14.9%,3.6%,3.5%,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,Not Available,Not Available,1.1%
Алфа рисърч,,2021-09-08,2021-09-15,National,1017,Provided,51.7%,0.1%,Not Available,23.2%,18.1%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,Not Available,Not Available,14.5%,Not Available,Not Available,18.6%,4.5%,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Тренд,,2021-09-08,2021-09-15,National,1012,Provided,53.0%,0.1%,Not Available,24.4%,16.6%,Not Available,2.2%,Not Available,Not Available,Not Available,9.3%,Not Available,Not Available,8.5%,Not Available,Not Available,17.5%,3.8%,2.9%,Not Available,Not Available,Not Available,9.1%,Not Available,Not Available,Not Available,Not Available,5.7%
Gallup,,2021-09-02,2021-09-10,National,1007,Provided,47.1%,0.1%,Not Available,22.5%,16.1%,Not Available,2.4%,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,15.8%,Not Available,Not Available,15.5%,4.8%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.9%
Маркет ЛИНКС,bTV,2021-08-13,2021-08-22,National,1055,Provided,52.0%,0.1%,Not Available,23.7%,17.2%,Not Available,Not Available,Not Available,Not Available,Not Available,12.0%,Not Available,Not Available,18.1%,Not Available,Not Available,17.2%,4.9%,4.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.2%
Тренд,24 часа,2021-07-23,2021-07-30,National,1006,Provided,Not Available,0.1%,Not Available,22.4%,14.5%,Not Available,1.9%,Not Available,Not Available,Not Available,10.2%,Not Available,Not Available,14.1%,Not Available,Not Available,21.6%,4.4%,2.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8%
Маркет ЛИНКС,bTV,2021-07-21,2021-07-28,National,1059,Provided,48.0%,0.1%,Not Available,19.7%,16.2%,Not Available,Not Available,Not Available,Not Available,Not Available,9.8%,Not Available,Not Available,15.2%,Not Available,Not Available,25.2%,5.7%,4.3%,Not Available,Not Available,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,1.7%
Алфа рисърч,,2021-07-04,2021-07-07,National,1013,Provided,47.0%,0.1%,Not Available,21.5%,16.4%,Not Available,Not Available,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,12%,Not Available,Not Available,21.8%,5.4%,3.2%,Not Available,Not Available,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,4.8%
