Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,SDSM,VMRO–DPMNE,BDI,ASH,Levica,PDSH,BESA,A,A+ASH,DOM+LDP,BDI+SDSM,DIMI,LD,Other
IPDV,,2023-11-05,2023-11-09,National,1050,Provided,54.7%,0.1%,23.0%,35.6%,9.7%,8.2%,5.9%,Not Available,4.4%,1.6%,Not Available,Not Available,Not Available,Not Available,3.3%,Not Available
IPIS,,2023-10-25,2023-10-27,National,1055,Provided,Not Available,0.1%,21.8%,39.2%,10.8%,3.9%,6.8%,Not Available,4.4%,3.5%,Not Available,Not Available,Not Available,5.6%,1.9%,Not Available
Kantar TNS Brima,,2023-06-01,2023-06-21,National,1211,Provided,Not Available,0.1%,24.9%,35.7%,10.8%,5.9%,4.6%,2.4%,8.8%,0.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
IPIS,,2023-05-23,2023-05-26,National,1112,Provided,Not Available,0.1%,24.6%,38.2%,12.4%,5.0%,6.3%,Not Available,4.4%,Not Available,Not Available,Not Available,Not Available,5.7%,Not Available,0.8%
НДИ,,2023-04-13,2023-04-14,National,1003,Provided,Not Available,0.1%,25.6%,39.6%,11.4%,6.3%,5.3%,Not Available,6.6%,Not Available,Not Available,Not Available,Not Available,3.1%,Not Available,2.1%
IPIS,,2023-03-01,2023-03-31,National,1114,Provided,Not Available,0.1%,Not Available,39.2%,Not Available,4.9%,8.1%,Not Available,8.5%,Not Available,Not Available,Not Available,30.1%,9.2%,Not Available,Not Available
ИДСЦС,,2023-02-22,2023-03-09,National,1002,Provided,Not Available,1%,27%,38%,18%,7%,9%,Not Available,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
МКД.мк,,2023-02-06,2023-02-16,National,1200,Provided,Not Available,0.1%,22.3%,39.2%,14.7%,6.7%,8.1%,Not Available,4.1%,Not Available,Not Available,0.2%,Not Available,Not Available,Not Available,3.4%
ИРИ,,2022-12-19,2022-12-19,National,1200,Provided,Not Available,0.1%,16.3%,33.3%,13.3%,7.8%,12.3%,Not Available,7.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%
IPIS,,2022-12-11,2022-12-14,National,1117,Provided,Not Available,0.1%,25.1%,38.3%,11.7%,5.6%,7.6%,Not Available,4.3%,1.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
МКД.мк,,2022-11-07,2022-11-13,National,1200,Provided,Not Available,0.1%,20.1%,40.5%,13.5%,3.9%,8.8%,0.7%,7.2%,3.5%,Not Available,0.9%,Not Available,Not Available,Not Available,1.1%
IPIS,,2022-05-04,2022-05-06,National,1111,Provided,Not Available,0.1%,30.1%,39.4%,13.4%,7.1%,5.4%,Not Available,2.8%,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
IPIS,,2021-10-19,2021-10-22,National,1102,Provided,Not Available,0.1%,28.9%,37.7%,11.0%,Not Available,6.6%,Not Available,2.6%,Not Available,8.0%,2.8%,Not Available,Not Available,Not Available,Not Available
Kantar TNS Brima,,2021-08-27,2021-09-09,National,1201,Provided,Not Available,0.1%,30.8%,27.6%,11.4%,9.5%,7.4%,1.7%,7.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kantar TNS Brima,,2021-05-28,2021-06-16,National,1194,Provided,Not Available,0.1%,33.0%,28.5%,11.0%,10.3%,7.5%,2.8%,6.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kantar TNS Brima,,2021-03-04,2021-04-06,National,1222,Provided,Not Available,0.1%,27.9%,27.9%,11.5%,9.8%,8.2%,1.6%,6.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
IPIS,,2021-03-01,2021-03-04,National,1109,Provided,Not Available,0.1%,31.9%,34.7%,10.4%,Not Available,6.6%,Not Available,1.7%,Not Available,8.9%,Not Available,Not Available,Not Available,Not Available,Not Available
M-Prospect,MCMS and Telma,2020-12-16,2020-12-24,National,1000,Provided,Not Available,0.1%,31.7%,30.8%,11.4%,7.8%,10.6%,2.4%,4.1%,0.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
